Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,19.0,+0.955 1'05.546,0.004,,237.158,FP3,,,
12,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,23.0,+0.970 1'05.561,0.015,,237.104,FP3,,,
13,E. Ocon  Alpine,31,Alpine,Renault,22.0,+1.083 1'05.674,0.113,,236.696,FP3,,,
14,G. Russell  Williams,63,Williams,Mercedes,23.0,+1.103 1'05.694,0.02,,236.624,FP3,,,
15,L. Norris  McLaren F1,4,McLaren,Mercedes,23.0,+1.109 1'05.700,0.006,,236.602,FP3,,,
16,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,21.0,+1.134 1'05.725,0.025,,236.512,FP3,,,
17,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,31.0,+1.156 1'05.747,0.022,,236.433,FP3,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,26.0,+1.487 1'06.078,0.331,,235.249,FP3,,,
19,N. Latifi  Williams,6,Williams,Mercedes,17.0,+1.514 1'06.105,0.027,,235.153,FP3,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,28.0,+1.698 1'06.289,0.184,,234.5,FP3,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,3.0,1'04.249,,,241.946,Q1,,,
2,L. Norris  McLaren F1,4,McLaren,Mercedes,6.0,+0.096 1'04.345,0.096,,241.585,Q1,,,
3,F. Alonso  Alpine,14,Alpine,Renault,3.0,+0.223 1'04.472,0.127,,241.109,Q1,,,
